Date : 2022-03-17 23:31:17
Directory : c:\xampp\htdocs\codei4
Total : 251 files,  30929 codes, 30244 comments, 8812 blanks, all 69985 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| PHP      |        204 |     30,444 |     30,244 |      8,639 |     69,327 |
| HTML     |         45 |        405 |          0 |        135 |        540 |
| Markdown |          1 |         57 |          0 |         37 |         94 |
| JSON     |          1 |         23 |          0 |          1 |         24 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |        251 |     30,929 |     30,244 |      8,812 |     69,985 |
| application                                                                           |         46 |      1,450 |        914 |        270 |      2,634 |
| application\cache                                                                     |          1 |          9 |          0 |          3 |         12 |
| application\config                                                                    |         15 |        677 |        893 |         92 |      1,662 |
| application\controllers                                                               |          3 |        163 |         18 |         34 |        215 |
| application\core                                                                      |          1 |          9 |          0 |          3 |         12 |
| application\helpers                                                                   |          1 |          9 |          0 |          3 |         12 |
| application\hooks                                                                     |          1 |          9 |          0 |          3 |         12 |
| application\language                                                                  |          2 |         18 |          0 |          6 |         24 |
| application\language\english                                                          |          1 |          9 |          0 |          3 |         12 |
| application\libraries                                                                 |          1 |          9 |          0 |          3 |         12 |
| application\logs                                                                      |          1 |          9 |          0 |          3 |         12 |
| application\models                                                                    |          2 |         41 |          1 |         10 |         52 |
| application\third_party                                                               |          1 |          9 |          0 |          3 |         12 |
| application\views                                                                     |         16 |        479 |          2 |        104 |        585 |
| application\views\errors                                                              |         13 |        295 |          0 |         66 |        361 |
| application\views\errors\cli                                                          |          6 |         62 |          0 |         18 |         80 |
| application\views\errors\html                                                         |          6 |        224 |          0 |         45 |        269 |
| system                                                                                |        200 |     29,260 |     28,990 |      8,447 |     66,697 |
| system\core                                                                           |         23 |      4,429 |      3,989 |      1,166 |      9,584 |
| system\core\compat                                                                    |          5 |        453 |        315 |         84 |        852 |
| system\database                                                                       |         94 |     10,057 |     11,580 |      3,154 |     24,791 |
| system\database\drivers                                                               |         86 |      6,598 |      8,684 |      2,136 |     17,418 |
| system\database\drivers\cubrid                                                        |          5 |        336 |        460 |        111 |        907 |
| system\database\drivers\ibase                                                         |          5 |        331 |        468 |        111 |        910 |
| system\database\drivers\mssql                                                         |          5 |        335 |        504 |        121 |        960 |
| system\database\drivers\mysql                                                         |          5 |        473 |        531 |        159 |      1,163 |
| system\database\drivers\mysqli                                                        |          5 |        546 |        543 |        160 |      1,249 |
| system\database\drivers\oci8                                                          |          5 |        470 |        590 |        148 |      1,208 |
| system\database\drivers\odbc                                                          |          5 |        303 |        450 |        105 |        858 |
| system\database\drivers\pdo                                                           |         30 |      2,484 |      3,210 |        763 |      6,457 |
| system\database\drivers\pdo\subdrivers                                                |         25 |      2,256 |      2,842 |        688 |      5,786 |
| system\database\drivers\postgre                                                       |          5 |        433 |        528 |        139 |      1,100 |
| system\database\drivers\sqlite                                                        |          5 |        236 |        448 |         92 |        776 |
| system\database\drivers\sqlite3                                                       |          5 |        288 |        452 |        100 |        840 |
| system\database\drivers\sqlsrv                                                        |          5 |        354 |        500 |        124 |        978 |
| system\fonts                                                                          |          1 |          9 |          0 |          3 |         12 |
| system\helpers                                                                        |         22 |      2,998 |      2,473 |        698 |      6,169 |
| system\language                                                                       |         15 |        319 |        468 |         33 |        820 |
| system\language\english                                                               |         14 |        310 |        468 |         30 |        808 |
| system\libraries                                                                      |         44 |     11,439 |     10,480 |      3,390 |     25,309 |
| system\libraries\Cache                                                                |          9 |        649 |        946 |        226 |      1,821 |
| system\libraries\Cache\drivers                                                        |          7 |        564 |        795 |        194 |      1,553 |
| system\libraries\Javascript                                                           |          2 |        368 |        568 |        153 |      1,089 |
| system\libraries\Session                                                              |          9 |      1,467 |      1,136 |        386 |      2,989 |
| system\libraries\Session\drivers                                                      |          5 |        853 |        666 |        226 |      1,745 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                              | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\xampp\htdocs\codei4\application\cache\index.html                                   | HTML     |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\codei4\application\config\autoload.php                                | PHP      |          9 |        118 |          8 |        135 |
| c:\xampp\htdocs\codei4\application\config\config.php                                  | PHP      |         50 |        443 |         31 |        524 |
| c:\xampp\htdocs\codei4\application\config\constants.php                               | PHP      |         25 |         56 |          5 |         86 |
| c:\xampp\htdocs\codei4\application\config\database.php                                | PHP      |         25 |         69 |          3 |         97 |
| c:\xampp\htdocs\codei4\application\config\doctypes.php                                | PHP      |         23 |          0 |          2 |         25 |
| c:\xampp\htdocs\codei4\application\config\foreign_chars.php                           | PHP      |        105 |          8 |          2 |        115 |
| c:\xampp\htdocs\codei4\application\config\hooks.php                                   | PHP      |          2 |         10 |          2 |         14 |
| c:\xampp\htdocs\codei4\application\config\index.html                                  | HTML     |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\codei4\application\config\memcached.php                               | PHP      |          9 |          9 |          2 |         20 |
| c:\xampp\htdocs\codei4\application\config\migration.php                               | PHP      |          8 |         70 |          7 |         85 |
| c:\xampp\htdocs\codei4\application\config\mimes.php                                   | PHP      |        175 |          8 |          2 |        185 |
| c:\xampp\htdocs\codei4\application\config\profiler.php                                | PHP      |          2 |         11 |          2 |         15 |
| c:\xampp\htdocs\codei4\application\config\routes.php                                  | PHP      |         12 |         48 |          7 |         67 |
| c:\xampp\htdocs\codei4\application\config\smileys.php                                 | PHP      |         47 |         13 |          5 |         65 |
| c:\xampp\htdocs\codei4\application\config\user_agents.php                             | PHP      |        176 |         30 |         11 |        217 |
| c:\xampp\htdocs\codei4\application\controllers\Image_detail.php                       | PHP      |        146 |          3 |         28 |        177 |
| c:\xampp\htdocs\codei4\application\controllers\Welcome.php                            | PHP      |          8 |         15 |          3 |         26 |
| c:\xampp\htdocs\codei4\application\controllers\index.html                             | HTML     |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\codei4\application\core\index.html                                    | HTML     |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\codei4\application\helpers\index.html                                 | HTML     |          9 |          0 |          3 |         12 |
